StationID,Elevation,Latitude,Longitude
2138,6445,37.67455,-109.36429
1030,10960,40.35098,-106.38141999999999
0484,6240,41.03333,-107.65
317,7440,41.05413,-107.26608999999999
1061,9080,40.06153,-107.00955
1041,8500,39.59917,-106.51142
1143,9200,36.32678,-109.05711000000001
335,11300,39.80392,-105.77788999999999
342,9080,42.6458,-109.25965
345,10880,39.76487,-107.35681000000001
0761,6720,41.58333,-108.51666000000002
348,9414,38.6799,-111.59765
1185,11580,37.78972,-108.18365
1162,8869,40.95814,-110.5828
353,8650,42.964,-110.60973
0951,6940,42.71666,-109.68333
0909,9580,39.48333,-106.03333
368,10574,40.58102,-110.58587
371,9409,39.134,-111.43722
1192,9632,40.844559999999994,-110.66068
1153,8924,37.86943,-109.44717
913,9240,40.228609999999996,-106.59528
378,9400,39.87505,-107.59853000000001
380,10160,38.89433,-106.953
383,8858,37.81333,-109.48723000000001
386,8880,37.65083,-107.80601999999999
387,8920,37.658,-107.80268000000001
1101,10110,39.262170000000005,-106.62931
396,10499,40.77458,-110.0105
409,9400,38.41795,-108.38248999999999
904,10785,37.44147,-108.02445
415,10550,39.489540000000005,-106.17095
1236,8207,39.65795,-110.37906000000001
426,9100,40.16745,-107.0575
432,7915,40.35747,-111.08993000000001
435,8008,40.2953,-111.25676999999999
2192,4930,38.75,-108.06666000000001
444,9228,39.04554,-111.46875
449,8880,41.303979999999996,-107.15241
452,9799,38.2084,-111.47412
457,8400,40.533970000000004,-106.7813
461,8302,39.312129999999996,-109.53178999999999
2130,6837,37.778529999999996,-109.17193
1163,9360,40.88472,-110.54056000000001
465,10000,37.78617,-108.02155
467,8700,40.847809999999996,-106.96871000000002
468,9400,43.00657,-109.75893
1252,8780,40.796490000000006,-107.10122
1120,10520,39.864,-106.4246
1149,8798,38.50455,-111.76693
481,10943,40.71785,-110.46721000000001
1186,11150,39.8687,-105.8675
485,11400,39.379909999999995,-106.19681000000001
2131,4103,39.01825,-110.16264
505,11100,39.64631,-105.86973
509,7840,42.146,-110.67833
2166,7055,38.31347,-109.23998
1193,10182,40.86313,-110.38145
521,9500,40.95009,-110.48418999999998
522,9122,40.90663,-109.96287
1187,10620,40.035920000000004,-105.75471
528,9168,40.92167,-110.18623000000001
531,11400,39.361270000000005,-106.05978
1216,9652,39.617740000000005,-111.30576
538,9800,37.9339,-107.67551999999999
542,10600,39.075390000000006,-106.61169
543,9171,39.891659999999995,-110.74604
544,9425,42.30023,-110.67753
547,10400,39.29202,-106.54923000000001
970,10400,39.7645,-105.90623000000001
554,8180,42.26554,-110.80176999999999
555,7740,43.2493,-110.01661999999999
556,9600,39.317240000000005,-106.61453
559,8728,40.71632,-109.54401000000001
565,10700,40.414320000000004,-105.8198
566,10128,40.59709,-110.43316000000002
1116,8464,40.5502,-110.3529
513,10885,40.73785,-110.62121
572,9578,38.48226,-109.27198
1215,8783,38.48167,-109.29163999999999
2155,5395,40.17957,-110.30463999999999
1047,8915,41.07053,-106.94283
586,10200,37.79926,-107.92426
589,9600,37.89183,-108.19543999999999
1261,9410,38.07,-110.77241000000001
597,8240,43.17387,-110.14007
940,9320,40.81588,-106.74835
607,8880,40.07806,-106.67028
905,10000,37.43087,-108.16953999999998
618,9500,39.12897,-107.28806000000002
1040,9480,39.60468,-106.54128
2140,5315,37.446709999999996,-109.33776
622,10000,39.05831,-108.05835
1014,8940,39.7956,-106.0273
629,10040,37.84747,-107.72657
632,10500,37.749320000000004,-107.68866000000001
643,9553,40.60798,-109.8881
2134,6927,40.37263,-110.40602
1269,9209,37.97793,-110.7933
658,8700,39.29722,-106.60694
1138,9050,36.177279999999996,-108.94691
661,8340,43.11265,-109.94946999999999
669,9200,39.07813,-107.14388999999998
675,9840,39.090559999999996,-107.63472
680,9600,38.819959999999995,-106.58973999999999
682,9960,39.046440000000004,-107.87414
688,9030,40.399370000000005,-105.84756999999999
1133,9360,42.7121,-109.4112
701,10760,38.48884,-106.33965
2132,5637,39.53288,-110.80604
709,9400,40.36783,-106.74038
713,11200,37.8918,-107.71342
714,8988,39.45197,-111.27221000000002
717,10340,40.10812,-107.29411
720,7886,40.54875,-110.69292
732,8150,41.11172,-107.1706
737,10700,39.01522,-107.04876999999999
739,9100,37.645559999999996,-108.00786000000001
742,9904,39.31042,-111.43297
1060,10720,37.50357,-108.11373
762,11560,37.9908,-107.20326999999999
765,8060,42.4949,-110.53203
1117,10235,40.83868,-110.00527
2154,4844,40.39136,-109.35326
2158,5341,37.51468,-111.26189
779,9000,42.52516,-110.66148000000001
780,10660,37.69866,-107.77715
790,10158,40.90862,-110.50461999999999
793,8720,40.225429999999996,-105.91977
795,8123,40.16483,-111.20665
797,11200,37.476209999999995,-107.63295
802,9400,39.71796,-106.15802
1249,10018,38.048,-111.33981000000001
1097,8736,39.67712,-110.43395
825,10500,40.53743,-106.6768
827,9700,39.99884,-107.2362
831,8500,42.76393,-110.5914
833,9518,40.739,-109.6728
1227,8596,39.4155,-111.2491
840,10200,37.48576,-106.83535
1141,10640,38.99077,-106.75421999999999
842,10300,39.61676,-106.38006000000001
843,10880,37.4851,-107.5068
2162,6392,37.19061,-112.19252
1188,11100,37.88248,-107.3643
1160,10740,37.51976,-107.32151999999999
2139,6993,38.013940000000005,-109.12745
859,8950,41.00289,-106.90848000000001
864,8641,39.9645,-110.98845
869,9540,40.34703,-106.09433
874,11000,37.47922,-106.8017
1228,9327,39.132329999999996,-111.35685
